"filename", "language", "Ini", "C++", "C", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_sbn1661.c", "C", 0, 0, 135, 0, 0, 0, 0, 47, 36, 218
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_sed1330.c", "C", 0, 0, 231, 0, 0, 0, 0, 67, 54, 352
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_sh1106_64x32.c", "C", 0, 0, 142, 0, 0, 0, 0, 48, 26, 216
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_sh1106_72x40.c", "C", 0, 0, 142, 0, 0, 0, 0, 49, 26, 217
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_sh1107.c", "C", 0, 0, 338, 0, 0, 0, 0, 90, 74, 502
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_sh1108.c", "C", 0, 0, 141, 0, 0, 0, 0, 55, 30, 226
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_sh1122.c", "C", 0, 0, 165, 0, 0, 0, 0, 87, 36, 288
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ssd1305.c", "C", 0, 0, 269, 0, 0, 0, 0, 60, 61, 390
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ssd1306_128x32.c", "C", 0, 0, 169, 0, 0, 0, 0, 53, 31, 253
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ssd1306_128x64_noname.c", "C", 0, 0, 315, 0, 0, 0, 0, 76, 75, 466
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ssd1306_48x64.c", "C", 0, 0, 144, 0, 0, 0, 0, 52, 20, 216
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ssd1306_64x32.c", "C", 0, 0, 175, 0, 0, 0, 0, 49, 35, 259
